Project,Unit ID,Contract Date,Bedrooms,Covered Area,Covered Veranda,Total Covered,Contract Amount,m²,Latitude,Longitude,Market Segment
Private Villas (Resale),,27/10/22,,547,102,649,"5,000,000","7,704",34.707844,33.094733,Luxury
Private Villas (Resale),,24/08/22,,230,36,266,"3,950,000","14,850",34.712253,33.175581,Luxury
Private Villas (Resale),,31/01/25,,162,22,184,"3,500,000","19,022",34.714013,33.14719,Luxury
Private Villas (Resale),,20/07/23,,310,27,337,"3,200,000","9,496",34.715356,33.153621,Luxury
Private Villas (Resale),,24/01/24,,240,46,286,"3,000,000","10,490",34.715781,33.148125,Luxury
Private Villas (Resale),,22/09/22,,243,43,286,"3,300,000","11,538",34.713188,33.169308,Luxury
Cap St. George,,21/12/22,,418,17,435,"7,300,000","16,782",34.893813,32.32446,Luxury
Cap St. George,,05/09/23,,404,58,462,"8,200,000","17,749",34.893813,32.32446,Luxury
Cap St. George,,23/05/23,,374,21,395,"6,300,000","15,949",34.893813,32.32446,Luxury
Cap St. George,,29/08/22,,418,17,435,"6,000,000","13,793",34.893813,32.32446,Luxury
Cap St. George,,23/03/21,,393,58,451,"6,000,000","13,304",34.893813,32.32446,Luxury
Cap St. George,,31/07/24,,360,5,365,"5,350,000","14,658",34.893813,32.32446,Luxury
Cap St. George,,24/11/22,,374,21,395,"4,550,000","11,519",34.893813,32.32446,Luxury
Cap St. George,,26/06/23,,359,35,394,"3,380,000","8,579",34.893813,32.32446,Luxury
Private Villas (Resale),,29/02/24,,310,38,348,"6,000,000","17,241",34.899836,32.324314,Luxury
Private Villas (Resale),,16/10/24,,286,20,306,"5,000,000","16,340",34.848927,32.382883,Luxury
Private Villas (Resale),,30/05/23,,605,33,638,"5,000,000","7,837",34.68161,32.613653,Luxury
Private Villas (Resale),,29/11/24,,338,57,395,"4,150,000","10,506",34.6898,32.621876,Luxury
Private Villas (Resale),,29/02/24,,236,37,273,"3,000,000","10,989",34.679368,32.618474,Luxury
Private Villas (Resale),,14/06/24,,234,31,265,"3,000,000","11,321",34.68041,32.612254,Luxury
Private Villas (Resale),,13/03/25,,207,43,250,"2,600,000","10,400",34.685645,32.612488,Luxury
Private Villas (Resale),,22/01/25,,170,30,200,"2,525,000","12,625",34.678229,32.612634,Luxury
Private Villas (Resale),,22/04/24,,193,22,215,"1,830,000","8,512",34.677624,32.617945,Luxury
